DEPTH,TVD,GR,ROBB,TNPH,SWOB,STOR,ROP5,SMSE,Formation
2459.873,1985.4697,182.732,2398.2585,6.21455,1.5518,15.1309,21.9645,13.1504,Dawson Canyon Formation
2459.8884,1985.4941,184.5156,2405.981,6.4217,1.8473000000000002,15.269875,26.347175,11.636149999999999,Dawson Canyon Formation
2460.0408,1985.5428,117.5511,2416.313,33.7008,2.1428000000000003,15.408850000000001,30.72985,10.1219,Dawson Canyon Formation
2460.1932,1985.5916,114.2603,2398.319,34.4269,2.4383,15.547825,35.112525,8.60765,Dawson Canyon Formation
2460.3191,1985.616,113.0041,2397.2889999999998,35.00925,2.7338,15.6868,39.4952,7.0934,Dawson Canyon Formation
2460.3456,1985.6404,111.7479,2396.259,35.5916,2.665625,15.5275,36.89315,7.7237,Dawson Canyon Formation
2460.498,1985.6892,118.3473,2368.578,35.3888,2.5974500000000003,15.3682,34.2911,8.354,Dawson Canyon Formation
2460.6504,1985.738,128.0607,2367.318,34.2744,2.529275,15.2089,31.689049999999998,8.9843,Dawson Canyon Formation
2460.6589,1985.7624,129.42305,2369.5035,34.16015,2.4611,15.0496,29.087,9.6146,Dawson Canyon Formation
2460.8028,1985.7868,130.7854,2371.689,34.0459,2.217,15.0123,25.817375,11.2455,Dawson Canyon Formation
2460.9552,1985.8356,127.9191,2391.246,34.5464,1.9729,14.975,22.54775,12.8764,Dawson Canyon Formation
2461.1076,1985.8844,125.1413,2403.859,34.5187,1.7288,14.9377,19.278125000000003,14.5073,Dawson Canyon Formation
2461.1287,1985.9088,125.0617,2403.098,33.833200000000005,1.4847,14.9004,16.0085,16.1382,Dawson Canyon Formation
2461.26,1985.9332,124.9821,2402.337,33.1477,1.5355666666666665,15.275533333333334,17.208566666666666,15.492733333333334,Dawson Canyon Formation
2461.4124,1985.982,125.6898,2409.541,32.2964,1.5864333333333334,15.650666666666666,18.408633333333334,14.847266666666668,Dawson Canyon Formation
2461.4448,1986.0064,124.21245,2400.1980000000003,31.9879,1.6373,16.0258,19.6087,14.2018,Dawson Canyon Formation
2461.5648,1986.0308,122.7351,2390.855,31.6794,1.34605,14.92755,18.4827,12.73785,Dawson Canyon Formation
2461.7129,1986.0552,120.24925,2394.3655,31.53915,1.0548,13.8293,17.3567,11.2739,Dawson Canyon Formation
2461.7172,1986.0796,117.7634,2397.876,31.3989,1.09045,14.3818,17.49715,10.445625,Dawson Canyon Formation
2461.8696,1986.1284,117.6396,2384.442,30.7829,1.1261,14.9343,17.6376,9.61735,Dawson Canyon Formation
2462.022,1986.1772,120.4881,2391.065,32.1637,1.16175,15.4868,17.77805,8.789075,Dawson Canyon Formation
2462.1445,1986.2016,121.0189,2393.543,32.519549999999995,1.1974,16.0393,17.9185,7.9608,Dawson Canyon Formation
2462.1744,1986.226,121.5497,2396.021,32.8754,1.07702,15.51868,17.981260000000002,8.93206,Dawson Canyon Formation
2462.3268,1986.2748,122.0628,2396.537,33.4748,0.95664,14.99806,18.04402,9.90332,Dawson Canyon Formation
2462.4792,1986.3236,121.9035,2407.817,33.7189,0.83626,14.47744,18.10678,10.87458,Dawson Canyon Formation
2462.6316,1986.3725,120.6297,2392.426,33.6716,0.7158800000000001,13.95682,18.169539999999998,11.845839999999999,Dawson Canyon Formation
2462.6482,1986.3969,119.00195,2395.0825,33.6635,0.5955,13.4362,18.2323,12.8171,Dawson Canyon Formation
2462.784,1986.4213,117.3742,2397.739,33.6554,0.32545,12.704049999999999,17.943550000000002,14.7294,Dawson Canyon Formation
2462.856,1986.4457,114.58760000000001,2396.3914999999997,33.085049999999995,0.0554,11.9719,17.6548,16.6417,Dawson Canyon Formation
2462.9364,1986.4701,111.801,2395.044,32.5147,0.83475,12.792175,17.921675,15.49665,Dawson Canyon Formation
2463.0888,1986.5189,108.3509,2399.965,31.2675,1.6140999999999999,13.612449999999999,18.18855,14.351600000000001,Dawson Canyon Formation
2463.2412,1986.5678,108.8816,2393.977,30.5762,2.39345,14.432725,18.455425,13.20655,Dawson Canyon Formation
2463.3105,1986.5922,109.73085,2390.0635,30.31625,3.1728,15.253,18.7223,12.0615,Dawson Canyon Formation
2463.3936,1986.6166,110.5801,2386.15,30.0563,2.03625,14.29035,17.57765,12.7546,Dawson Canyon Formation
2463.5132,1986.641,111.33205000000001,2389.294,30.23085,0.8997,13.3277,16.433,13.4477,Dawson Canyon Formation
2463.546,1986.6654,112.084,2392.438,30.4054,1.2362000000000002,13.4904,16.976966666666666,12.777,Dawson Canyon Formation
2463.6984,1986.7143,111.4294,2406.669,30.1811,1.5727000000000002,13.6531,17.520933333333335,12.106300000000001,Dawson Canyon Formation
2463.8308,1986.7386999999999,109.86359999999999,2403.3135,30.4636,1.9092,13.8158,18.0649,11.4356,Dawson Canyon Formation
2463.8508,1986.7631,108.2978,2399.958,30.7461,1.7901500000000001,14.2666,18.227050000000002,11.64305,Dawson Canyon Formation
2464.0032,1986.812,105.5554,2387.308,31.8388,1.6711,14.7174,18.389200000000002,11.8505,Dawson Canyon Formation
2464.1556,1986.8608,104.9892,2383.24,32.1396,1.55205,15.168199999999999,18.55135,12.05795,Dawson Canyon Formation
2464.2007,1986.8852499999998,107.4131,2386.8815,32.11215,1.433,15.619,18.7135,12.2654,Dawson Canyon Formation
2464.308,1986.9097,109.837,2390.523,32.0847,1.4767000000000001,15.591899999999999,19.1678,11.803866666666666,Dawson Canyon Formation
2464.4604,1986.9585,118.7188,2397.529,31.7058,1.5204,15.5648,19.6221,11.342333333333334,Dawson Canyon Formation
2464.5938,1986.98295,121.70005,2402.0434999999998,31.546,1.5641,15.5377,20.0764,10.8808,Dawson Canyon Formation
2464.6128,1987.0074,124.6813,2406.558,31.3862,1.943025,15.6631,20.497725,11.035075,Dawson Canyon Formation
2464.7652,1987.0562,124.6283,2407.407,31.1246,2.32195,15.788499999999999,20.91905,11.189350000000001,Dawson Canyon Formation
2464.9176,1987.1051,120.8597,2396.201,31.0605,2.700875,15.9139,21.340375,11.343625,Dawson Canyon Formation
2464.9961,1987.1295,118.0819,2385.1675,31.408050000000003,3.0798,16.0393,21.7617,11.4979,Dawson Canyon Formation
2465.07,1987.1539,115.3041,2374.134,31.7556,3.709075,16.463,19.83135,10.761474999999999,Dawson Canyon Formation
2465.2224,1987.2028,109.0586,2357.448,32.5952,4.33835,16.8867,17.901,10.02505,Dawson Canyon Formation
2465.3748,1987.2517,104.2992,2361.115,32.8062,4.967625,17.3104,15.970650000000001,9.288625,Dawson Canyon Formation
2465.4023,1987.2761500000001,103.7242,2363.5649999999996,33.0536,5.5969,17.7341,14.0403,8.5522,Dawson Canyon Formation
2465.5272,1987.3006,103.1492,2366.015,33.301,4.8641,16.992933333333333,13.479166666666666,19.8061,Dawson Canyon Formation
2465.6796,1987.3494,108.3509,2367.473,32.8841,4.1312999999999995,16.25176666666667,12.918033333333334,31.06,Dawson Canyon Formation
2465.8025,1987.37385,110.61555,2369.612,32.60205,3.3985,15.5106,12.3569,42.3139,Dawson Canyon Formation
2465.832,1987.3983,112.8802,2371.751,32.32,3.27792,15.3506,12.53152,36.56484,Dawson Canyon Formation
2465.9844,1987.4472,110.1732,2366.625,31.4282,3.15734,15.1906,12.70614,30.815779999999997,Dawson Canyon Formation
2466.1368,1987.4961,108.3155,2373.302,31.5974,3.03676,15.0306,12.88076,25.06672,Dawson Canyon Formation
2466.2892,1987.545,108.687,2371.383,32.6315,2.9161799999999998,14.8706,13.05538,19.31766,Dawson Canyon Formation
2466.3823,1987.5694,108.15625,2371.513,32.78495,2.7956,14.7106,13.23,13.5686,Dawson Canyon Formation
2466.4416,1987.5938,107.6255,2371.643,32.9384,2.90294,14.992619999999999,18.32322,12.79104,Dawson Canyon Formation
2466.594,1987.6427,106.5816,2375.569,32.1255,3.01028,15.27464,23.41644,12.01348,Dawson Canyon Formation
2466.7464,1987.6916,104.83,2378.615,31.3628,3.11762,15.556659999999999,28.509660000000004,11.23592,Dawson Canyon Formation
2466.8988,1987.7405,104.6,2383.482,30.6405,3.22496,15.83868,33.60288,10.458359999999999,Dawson Canyon Formation
2467.0317,1987.76495,106.90005,2378.6265000000003,30.9724,3.3323,16.1207,38.6961,9.6808,Dawson Canyon Formation
2467.0512,1987.7894,109.2001,2373.771,31.3043,3.8046714285714285,16.4306,39.486985714285716,9.464185714285714,Dawson Canyon Formation
2467.2036,1987.8383,115.9234,2367.701,29.7403,4.277042857142857,16.7405,40.27787142857143,9.247571428571428,Dawson Canyon Formation
2467.356,1987.8872,116.9849,2372.691,28.903,4.749414285714286,17.0504,41.068757142857145,9.030957142857142,Dawson Canyon Formation
2467.5084,1987.9362,110.2617,2389.019,29.4886,5.221785714285714,17.3603,41.85964285714286,8.814342857142858,Dawson Canyon Formation
2467.6608,1987.9851,104.1046,2394.371,32.0582,5.694157142857143,17.670199999999998,42.65052857142857,8.597728571428572,Dawson Canyon Formation
2467.8132,1988.034,102.0699,2383.452,32.9659,6.166528571428572,17.9801,43.44141428571429,8.381114285714286,Dawson Canyon Formation
2467.8484,1988.05845,102.1849,2371.2625,32.789500000000004,6.6389,18.29,44.2323,8.1645,Dawson Canyon Formation
2467.9656,1988.0829,102.2999,2359.073,32.6131,5.9727,18.01342,43.77538,8.592600000000001,Dawson Canyon Formation
2468.118,1988.1318,107.1301,2359.756,30.2279,5.3065,17.73684,43.31846,9.0207,Dawson Canyon Formation
