,DEPT,TVD,Incl,Azim Grid,Azim True,VSEC,AHD,NS,EW,DLS,Northing,Easting,Well
43,528.3708,527.0551,10.60302521,216.2291597,218.0491597,17.00117647,20.9289916,-26.26369748,-9.485210084,1.13,5157514.678,691809.9167,Hebron 9301
44,528.5232,527.2049,10.6092437,216.2252101,218.0452101,17.02470588,20.9602521,-26.28907563,-9.503697479,1.13,5157514.653,691809.8983,Hebron 9301
45,528.6756,527.3546,10.61546218,216.2212605,218.0412605,17.04823529,20.99151261,-26.31445378,-9.522184874,1.13,5157514.628,691809.8799,Hebron 9301
46,528.828,527.5044,10.62168067,216.2173109,218.0373109,17.07176471,21.02277311,-26.33983193,-9.540672269,1.13,5157514.602,691809.8615,Hebron 9301
47,528.9804,527.6542,10.62789916,216.2133613,218.0333613,17.09529412,21.05403361,-26.36521008,-9.559159664,1.13,5157514.577,691809.8431,Hebron 9301
48,529.1328,527.804,10.63411765,216.2094118,218.0294118,17.11882353,21.08529412,-26.39058824,-9.577647059,1.13,5157514.552,691809.8247,Hebron 9301
49,529.2852,527.9538,10.64033613,216.2054622,218.0254622,17.14235294,21.11655462,-26.41596639,-9.596134454,1.13,5157514.526,691809.8063,Hebron 9301
50,529.4376,528.1035,10.64655462,216.2015126,218.0215126,17.16588235,21.14781513,-26.44134454,-9.614621849,1.13,5157514.501,691809.7879,Hebron 9301
51,529.59,528.2533,10.65277311,216.197563,218.017563,17.18941176,21.17907563,-26.46672269,-9.633109244,1.13,5157514.476,691809.7695,Hebron 9301
52,529.7424,528.4031,10.6589916,216.1936134,218.0136134,17.21294118,21.21033613,-26.49210084,-9.651596639,1.13,5157514.451,691809.7511,Hebron 9301
53,529.8948,528.5528,10.66521008,216.1896639,218.0096639,17.23647059,21.24159664,-26.51747899,-9.670084034,1.13,5157514.425,691809.7327,Hebron 9301
54,530.0472,528.7026,10.67142857,216.1857143,218.0057143,17.26,21.27285714,-26.54285714,-9.688571429,1.13,5157514.4,691809.7143,Hebron 9301
55,530.1996,528.8523,10.67764706,216.1817647,218.0017647,17.28352941,21.30411765,-26.56823529,-9.707058824,1.13,5157514.375,691809.6959,Hebron 9301
56,530.352,529.0021,10.68386555,216.1778151,217.9978151,17.30705882,21.33537815,-26.59361345,-9.725546218,1.13,5157514.349,691809.6775,Hebron 9301
57,530.5044,529.1518,10.69008403,216.1738655,217.9938655,17.33058824,21.36663866,-26.6189916,-9.744033613,1.13,5157514.324,691809.6591,Hebron 9301
58,530.6568,529.3016,10.69630252,216.169916,217.989916,17.35411765,21.39789916,-26.64436975,-9.762521008,1.13,5157514.299,691809.6407,Hebron 9301
59,530.8092,529.4513,10.70252101,216.1659664,217.9859664,17.37764706,21.42915966,-26.6697479,-9.781008403,1.13,5157514.274,691809.6223,Hebron 9301
60,530.9616,529.6011,10.7087395,216.1620168,217.9820168,17.40117647,21.46042017,-26.69512605,-9.799495798,1.13,5157514.248,691809.6039,Hebron 9301
61,531.114,529.7508,10.71495798,216.1580672,217.9780672,17.42470588,21.49168067,-26.7205042,-9.817983193,1.13,5157514.223,691809.5855,Hebron 9301
